8 7 19
7 6 18
7 7 18
7 7 18
4 3 15
9 8 20
8 7 19
7 6 18
10 9 20
5 5 16
11 10 22
11 10 22
6 5 16
5 5 16
4 3 15
29 29 40
127 127 146
8 8 18
8 8 18
6 6 16
2 2 11
4 4 13
4 4 14
6 6 16
5 4 16
21 20 32
21 20 33
61 61 76
14 13 25
23 22 35
29 29 41
126 126 143
8 8 19
8 8 19
6 6 16
2 2 12
4 4 14
4 4 14
6 6 16
6 4 16
22 21 33
22 21 33
64 63 79
15 14 26
23 22 36
6 6 14
5 5 13
11 11 21
11 11 21
29 29 39
7 7 15
4 4 12
3 3 13
3 3 14
6 6 18
13 13 25
13 13 25
2 2 13
3 2 15
6 4 17
3 3 9
6 6 15
5 5 12
5 5 12
3 3 10
2 2 8
2 2 9
4 4 12
4 4 14
6 6 16
9 9 21
9 9 21
5 4 15
4 3 15
4 3 15
6 6 13
3 3 10
2 2 11
2 2 11
3 3 12
3 3 14
4 3 15
4 3 15
4 3 15
5 4 16
5 4 17
5 4 17
5 4 16
5 4 15
5 4 15
3 3 10
3 3 10
5 5 14
6 6 15
4 4 14
3 2 13
4 3 15
5 4 15
6 4 17
6 4 16
6 4 17
6 4 17
6 4 16
6 5 17
5 4 16
3 3 9
2 2 9
7 7 16
7 7 16
6 6 15
4 3 14
4 3 15
4 3 15
4 3 15
6 4 16
6 4 17
6 4 17
6 4 16
4 2 14
5 3 14
3 3 9
2 2 9
7 7 16
7 7 16
5 5 15
4 3 14
4 3 15
4 3 15
4 3 15
6 4 16
6 4 17
5 4 17
5 4 16
4 2 14
5 3 15
4 4 12
3 3 9
5 5 14
5 5 14
8 8 17
7 6 17
7 6 17
8 7 19
3 2 14
6 4 17
4 3 14
4 3 14
27 25 39
14 13 25
6 4 16
4 4 12
3 3 9
6 6 15
6 6 15
8 8 18
7 6 18
7 6 17
8 7 19
3 2 14
6 4 17
4 3 14
4 3 14
27 25 39
14 13 25
6 4 16
24 24 33
6 6 13
4 4 13
4 4 13
5 5 14
9 9 20
7 6 19
83 83 99
31 29 44
6 4 17
5 4 16
6 4 16
14 12 25
7 6 18
6 4 17
3 2 9
3 3 10
2 2 11
2 2 12
7 6 15
69 69 83
23 22 34
6 5 15
9 8 18
3 2 13
6 4 15
6 4 15
4 2 13
4 3 13
4 2 14
3 2 12
4 2 12
4 2 12
4 2 12
7 5 15
39 37 49
7 5 15
4 4 13
3 2 10
4 3 10
4 3 11
4 3 10
4 3 10
4 3 12
4 2 10
3 2 12
4 2 11
4 2 12
4 2 12
4 3 12
4 2 12
6 4 13
4 3 11
5 3 12
4 2 12
4 2 11
4 2 11
4 2 11
25 23 34
4 4 12
4 2 12
5 4 13
5 3 12
5 3 12
5 3 12
3 2 12
5 4 12
4 2 12
5 3 12
4 2 13
4 2 13
4 2 13
5 3 14
13 13 23
6 5 15
